FC,Pvalue,Significance,GeneName,GeneName2,Color
-2.150975861,0.006496085,2.187348311,,,#F0E442
-0.598671747,0.006510662,2.186374853,,,#F0E442
0.699273067,0.006514717,2.186104445,,,#009E73
-0.536253391,0.006584377,2.181485329,,,#F0E442
-0.333678048,0.006617883,2.179280936,,,#D3D3D3
0.692122129,0.006621407,2.179049721,,,#009E73
1.364735982,0.006649769,2.177193423,,,#009E73
1.069616838,0.006672045,2.175741019,,,#009E73
-2.421861843,0.006679029,2.17528668,,,#F0E442
1.006829713,0.006690907,2.174514986,,,#009E73
0.354366644,0.006726107,2.172236257,,,#D3D3D3
0.917643319,0.006727807,2.172126501,,,#009E73
0.894511952,0.006732598,2.171817338,,,#009E73
-1.156407131,0.006755003,2.170374436,,,#F0E442
-0.648318781,0.00683197,2.165454044,,,#F0E442
0.978449978,0.006863756,2.163438136,,,#009E73
1.386646971,0.006891133,2.161709347,,,#009E73
-0.875865496,0.006892032,2.161652729,,,#F0E442
2.589019537,0.006997534,2.155054998,,,#009E73
0.720357751,0.007025328,2.153333378,,,#009E73
0.4707692,0.00708122,2.149891896,,,#D3D3D3
2.187931222,0.007096524,2.148954311,,,#009E73
1.454556207,0.007102799,2.148570485,,,#009E73
1.622530313,0.007109128,2.14818368,,,#009E73
-0.838576993,0.00710983,2.148140793,,,#F0E442
0.787229419,0.007123277,2.147320159,,,#009E73
1.254966774,0.007134898,2.146612254,,,#009E73
1.102795396,0.007174515,2.144207426,,,#009E73
0.539115056,0.007198244,2.14277343,,,#009E73
0.708720618,0.007208222,2.142171839,,,#009E73
-0.9836968,0.00726406,2.138820551,,,#F0E442
-0.775145208,0.007269685,2.138484394,,,#F0E442
2.392934129,0.00734499,2.1340088,,,#009E73
-0.656224616,0.007350104,2.133706541,,,#F0E442
-0.610251899,0.007350993,2.133653982,,,#F0E442
0.723133777,0.007415514,2.129858727,,,#009E73
1.053983179,0.007433409,2.12881199,,,#009E73
-1.120188302,0.007458987,2.127320133,,,#F0E442
-0.844522297,0.007466562,2.126879341,,,#F0E442
-0.84739972,0.00748393,2.125870304,,,#F0E442
0.786147187,0.007548883,2.122117314,,,#009E73
1.977914425,0.007555543,2.12173432,,,#009E73
-0.776359485,0.007569312,2.120943575,,,#F0E442
-0.664704494,0.007583973,2.120103207,,,#F0E442
2.294259293,0.007614116,2.118380486,,,#009E73
0.511838643,0.007614119,2.118380315,,,#009E73
0.875670917,0.007624773,2.117773103,,,#009E73
0.861131078,0.007630351,2.117455465,,,#009E73
-0.466970369,0.007634987,2.117191683,,,#D3D3D3
0.689290408,0.007636608,2.117099511,,,#009E73
1.455674458,0.007665938,2.115434713,,,#009E73
1.094984497,0.007675064,2.114917967,,,#009E73
-0.934231713,0.007686527,2.114269824,,,#F0E442
1.201575252,0.00769114,2.114009257,,,#009E73
0.580776619,0.007735934,2.111487265,,,#009E73
-1.397864449,0.007738389,2.111349428,,,#F0E442
0.710312774,0.007745475,2.110951965,,,#009E73
-0.5774102,0.007806154,2.107562901,,,#F0E442
-0.782121548,0.007828367,2.106328847,,,#F0E442
-1.021177852,0.007860185,2.104567207,,,#F0E442
0.493091674,0.007876928,2.103643107,,,#D3D3D3
1.691699708,0.007885621,2.103164099,,,#009E73
0.513853024,0.007915407,2.101526739,,,#009E73
1.120284536,0.007966237,2.098746797,,,#009E73
0.544083134,0.007967031,2.098703486,,,#009E73
0.847301045,0.007990771,2.097411296,,,#009E73
-0.942027759,0.007992113,2.097338405,,,#F0E442
0.670794575,0.008058098,2.093767477,,,#009E73
3.15865952,0.00809482,2.091792805,,,#009E73
-0.545457941,0.00809601,2.091728955,,,#F0E442
0.583289889,0.008096012,2.091728835,,,#009E73
0.60658678,0.008111874,2.090878829,,,#009E73
-0.511252886,0.008131339,2.089837917,,,#F0E442
-0.581699629,0.008138215,2.089470864,,,#F0E442
-1.096359643,0.008146085,2.089051065,,,#F0E442
0.969377921,0.008219782,2.085139706,,,#009E73
-1.535024071,0.008242491,2.083941518,,,#F0E442
0.796362429,0.008253485,2.08336261,,,#009E73
-1.458391623,0.008304563,2.08068319,,,#F0E442
0.894309636,0.00830536,2.080641558,,,#009E73
1.324706383,0.008307077,2.080551748,,,#009E73
-1.104704129,0.008328345,2.079441309,,,#F0E442
-0.40128549,0.008331607,2.079271214,,,#D3D3D3
1.388567224,0.008357149,2.077941853,,,#009E73
-0.935302504,0.008375352,2.076996906,,,#F0E442
0.861939991,0.008411326,2.075135521,,,#009E73
0.982438078,0.008427621,2.074294985,,,#009E73
0.940095075,0.008440719,2.073620567,,,#009E73
1.344048993,0.008454657,2.072904008,,,#009E73
1.070732975,0.008480373,2.071585033,,,#009E73
0.920577681,0.008497443,2.07071172,,,#009E73
1.199297601,0.008499614,2.070600807,,,#009E73
0.703625118,0.008569224,2.067058527,,,#009E73
0.608080632,0.008575482,2.066741465,,,#009E73
-0.613353029,0.008690705,2.060944997,,,#F0E442
0.779194609,0.008695637,2.06069861,,,#009E73
