"","ROI_Name","X_position","Y_position","type","SegmentType","Gene","Expression"
"149","Cx. II/III, 008, Neuropil",17781,32538,"Cortical layer II/III - Neuropil","Neuropil","NAB1",1.55752197836727
"150","Cx. V, 007, Neuropil",15150,24659,"Cortical layer V - Neuropil","Neuropil","NAB1",0.678285036114374
"151","Cx. V, 033, Neuropil",14266,22500,"Cortical layer V - Neuropil","Neuropil","NAB1",-0.280993818439404
"152","Hipp. CA1, 017, Neuropil",17683,20128,"Hippocampus CA1 - Neuropil","Neuropil","NAB1",0.420647170251757
"153","Hipp. CA1, 021, Neuropil",19727,22092,"Hippocampus CA1 - Neuropil","Neuropil","NAB1",-0.126987049425554
"154","Hipp. CA1, 019, Neuropil",16563,16483,"Hippocampus CA1 - Neuropil","Neuropil","NAB1",-0.149139719993645
"155","Cx. II/III, 032, Neuropil",12988,25768,"Cortical layer II/III - Neuropil","Neuropil","NAB1",0.830432683285985
"156","Cx. II/III, 036, Neuropil",11922,23565,"Cortical layer II/III - Neuropil","Neuropil","NAB1",0.49106540435378
"157","Cx. V, 009, GFAP+",19978,31299,"Cortical layer V - GFAP+","GFAP+","NAB1",-0.684792994825852
"158","Cx. II/III, 036, GFAP+",11922,23565,"Cortical layer II/III - GFAP+","GFAP+","NAB1",-0.0228981658944705
"159","Cx. II/III, 008, GFAP+",17781,32538,"Cortical layer II/III - GFAP+","GFAP+","NAB1",0.830432683285985
"160","Cx. II/III, 032, GFAP+",12988,25768,"Cortical layer II/III - GFAP+","GFAP+","NAB1",-1.22560044784837
"161","Cx. V, 007, GFAP+",15150,24659,"Cortical layer V - GFAP+","GFAP+","NAB1",0.289625230263463
"162","Cx. V, 033, GFAP+",14266,22500,"Cortical layer V - GFAP+","GFAP+","NAB1",0.830432683285985
"163","Hipp. CA1, 019, Iba1+",16563,16483,"Hippocampus CA1 - Iba1+","Iba1+","AIF1",0.978244804910367
"164","Cx. V, 007, Iba1+",15150,24659,"Cortical layer V - Iba1+","Iba1+","AIF1",-1.51439897762281
"165","Hipp. CA1, 017, Iba1+",17683,20128,"Hippocampus CA1 - Iba1+","Iba1+","AIF1",0.491408439665875
"166","Cx. V, 009, Iba1+",19978,31299,"Cortical layer V - Iba1+","Iba1+","AIF1",1.87392285903637
"167","Cx. II/III, 008, Iba1+",17781,32538,"Cortical layer II/III - Iba1+","Iba1+","AIF1",1.23051396719844
