"","ROI_Name","X_position","Y_position","type","SegmentType","Gene","Expression"
"207","Hipp. CA1, 019, NeuN+",16563,16483,"Hippocampus CA1 - NeuN+","NeuN+","UCHL1",1.41787261149069
"208","Cx. II/III, 032, GFAP+",12988,25768,"Cortical layer II/III - GFAP+","GFAP+","UCHL1",-1.55229943551516
"209","Cx. V, 009, IBA1+",19978,31299,"Cortical layer V - IBA1+","IBA1+","UCHL1",-0.477905528351788
"210","Cx. V, 033, IBA1+",14266,22500,"Cortical layer V - IBA1+","IBA1+","UCHL1",-0.588445662558392
"211","Cx. V, 009, Neuropil",19978,31299,"Cortical layer V - Neuropil","Neuropil","UCHL1",-0.785169294284156
"212","Hipp. CA1, 017, IBA1+",17683,20128,"Hippocampus CA1 - IBA1+","IBA1+","UCHL1",-0.579987079263258
"213","Hipp. CA1, 019, IBA1+",16563,16483,"Hippocampus CA1 - IBA1+","IBA1+","UCHL1",-0.423006633425961
"214","Cx. II/III, 036, IBA1+",11922,23565,"Cortical layer II/III - IBA1+","IBA1+","UCHL1",-1.14151662739618
"215","Cx. V, 007, IBA1+",15150,24659,"Cortical layer V - IBA1+","IBA1+","UCHL1",-0.190066116640285
"216","Hipp. Hilus, 014, Neuropil",29808.294921875,17616.25390625,"Hippocampal hilus - Neuropil","Neuropil","UCHL1",-0.749611446483452
"217","Cx. II/III, 008, Neuropil",17781,32538,"Cortical layer II/III - Neuropil","Neuropil","UCHL1",-0.135167221714458
